"2022-06-17";"22:39:43";"WinControl (rev 1142) report file"
"Datetime";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"2022-06-17 20:20:58.000";"3402002";"2022-06-17";"20:20:58";"F";"186";"362";"1164";"0";"0.689";"0.0"
"2022-06-17 20:21:01.000";"3405002";"2022-06-17";"20:21:01";"F";"187";"55";"65";"0";"0.154";"0.0"
"2022-06-17 20:21:44.000";"3448002";"2022-06-17";"20:21:44";"F";"188";"570";"1713";"0";"0.667";"0.0"
"2022-06-17 20:21:49.000";"3453002";"2022-06-17";"20:21:49";"F";"189";"450";"1471";"0";"0.694";"0.0"
"2022-06-17 20:21:58.000";"3462002";"2022-06-17";"20:21:58";"F";"190";"181";"533";"0";"0.660";"0.0"
"2022-06-17 20:22:02.000";"3466002";"2022-06-17";"20:22:02";"F";"191";"455";"1285";"0";"0.646";"0.0"
"2022-06-17 20:22:07.000";"3471002";"2022-06-17";"20:22:07";"F";"192";"328";"819";"0";"0.600";"0.0"
"2022-06-17 20:22:10.000";"3474002";"2022-06-17";"20:22:10";"F";"193";"552";"1270";"0";"0.565";"0.0"
"2022-06-17 20:22:13.000";"3477002";"2022-06-17";"20:22:13";"F";"194";"248";"653";"0";"0.620";"0.0"
"2022-06-17 20:22:17.000";"3481002";"2022-06-17";"20:22:17";"F";"195";"87";"241";"0";"0.639";"0.0"
"2022-06-17 20:22:27.000";"3491002";"2022-06-17";"20:22:27";"F";"196";"93";"255";"0";"0.635";"0.0"
"2022-06-17 20:22:32.000";"3496002";"2022-06-17";"20:22:32";"F";"197";"249";"627";"0";"0.603";"0.0"
"2022-06-17 20:22:44.000";"3508002";"2022-06-17";"20:22:44";"F";"198";"416";"1321";"0";"0.685";"0.0"
"2022-06-17 20:22:49.000";"3513002";"2022-06-17";"20:22:49";"F";"199";"522";"1630";"0";"0.680";"0.0"
"2022-06-17 20:22:56.000";"3520002";"2022-06-17";"20:22:56";"F";"200";"516";"1667";"0";"0.690";"0.0"
"2022-06-17 20:23:01.000";"3525002";"2022-06-17";"20:23:01";"F";"201";"635";"2015";"0";"0.685";"0.0"
"2022-06-17 20:23:54.000";"3578002";"2022-06-17";"20:23:54";"F";"202";"497";"819";"0";"0.393";"0.0"
"2022-06-17 20:24:02.000";"3586002";"2022-06-17";"20:24:02";"F";"203";"420";"754";"0";"0.443";"0.0"
"2022-06-17 20:24:10.000";"3594002";"2022-06-17";"20:24:10";"F";"204";"599";"881";"0";"0.320";"0.0"
"2022-06-17 20:24:15.000";"3599002";"2022-06-17";"20:24:15";"F";"205";"560";"920";"0";"0.391";"0.0"
