nursery,name,geno,ed50,std.error
NSU,kjs69,kjs69,36.5409914337548,0.09742412725959108
NSU,kjs64,kjs64,36.271441058091675,0.1972284530604741
NSU,kjs60,kjs60,35.5546354460795,0.2848522799506332
NSU,kjs82,kjs82,35.465590283546156,0.08135496375222767
NSU,kjs86,kjs86,35.74065046118943,0.2003875301191028
NSU,kjs83,kjs83,35.91634435400498,0.11678815268309593
NSU,kjs94,kjs94,36.59017525159695,0.40247173443394535
NSU,kjs99,kjs99,35.19232537776317,0.4749378174498055
MML,ML55,ML55,35.70815402853672,0.1383251301791717
MML,ML48,ML48,35.318655826202104,0.1598848689525629
MML,ML88,ML88,36.23944294937113,0.21565449958198238
MML,ML47,ML44,35.690039269798746,0.27621534821534116
MML,ML8,ML8,35.70542297816212,0.24346868879370787
MML,ML75,ML75,36.1252134283041,0.17264887964565556
MML,ML51,ML51,35.6565887681389,0.3306886468432915
MML,ML62,ML62,35.64093549136527,0.07424266209466406
MML,ML29,ML29,36.122493965086626,0.16334487608436762
MML,ML3,ML3,35.75530903506099,0.05990810363852418
MML,ML84,ML84,35.81475064609825,0.26696059940256
MML,ML34,ML34,36.41849999916778,0.44536045867627155
MML,ML80,ML80,35.99676673993472,0.25942834833072986
MML,ML58,ML58,35.67711590177993,0.16715381559645648
MML,ML56,ML56,35.79247799004882,0.15367404395539186
MML,ML4,ML4,35.97200294136571,0.10128101428854651
MML,ML7,ML7,35.94484291591583,0.22009375604405276
MML,ML38,ML38,36.3552651646311,0.2041869186555707
MML,ML57,ML57,35.69782234010748,0.22479909513318388
MML,ML41,ML41,35.91760773861171,0.13946995674561405
MML,ML54,ML54,35.47517853210906,0.3068939131479684
MML,ML6,ML6,35.960170930753534,0.5105267166289656
MML,ML76,ML76,35.52792763089682,0.2721602029010399
MML,ML44,ML44,35.93460426508464,0.2493055645538911
MML,ML1,ML1,35.88491544082903,0.33873785130107303
MML,ML20,ML20,35.613149870294535,0.40203232241248227
MML,ML89,ML89,35.77607931442722,0.31847717788197455
MML,ML79,ML79,36.08642080830356,0.15864641872709992
MML,ML70,ML70,36.40857983859878,0.10860494849210704
MML,ML50,ML50,36.09160329615576,0.16521949833122226
MML,ML10,ML10,36.12010402360183,0.20664446983737508
MML,ML46,ML46,35.819713354532595,0.2209402953646618
MML,ML13,ML13,35.66110843503316,0.26318606597736904
MML,ML90,ML90,36.87347766083129,2.7224344827567317
MML,ML77,ML77,36.13526281492508,0.2116532057793621
MML,ML63,ML63,36.22915394703576,0.13611851028092636
MML,ML78,ML78,35.83269408629634,0.1562813618277053
MML,ML5,ML5,36.20472510466453,0.35339016359550474
MML,ML36,ML36,36.02651640308893,0.24047615086579327
MML,ML31,ML31,35.70122914674464,0.29923948036058484
RR,U15(A),U15,35.980958516594576,0.29482100079941953
RR,M6,CM6,35.93816698092114,0.1527976302607193
RR,FM12,FM12,36.1164827184671,0.36226552388466904
RR,FM9,FM9,36.40837119694531,0.3661188329945718
RR,U19,U19,35.952911086908045,0.0840955412278114
RR,K1,K1,35.55276284577551,0.17744725580134166
RR,K2,K2,36.13661502166587,0.09094221136626497
RR,CM6,CM6,36.690077451115656,0.20736611488671067
RR,FM20,FM20,37.37084731506789,0.449231636468424
RR,U94,U94,36.710845343554944,0.21067294165202766
RR,U93,U93,36.96293941187108,0.12462776124996032
RR,FM6(C),FM6,35.60347229874675,0.2082373413480089
RR,M5,CM5,36.579100450437885,0.2544593485844004
RR,U15(B),U15,36.41045197684146,0.37126675457465624
RR,ML31,ML31,36.09436153192772,0.3135743245238424
RR,FM7,FM7,37.012918599600106,0.3223437635581643
RR,ML3,ML3,37.05654696469652,0.178006843213113
RR,M10,M10,36.605361413717745,0.1635341290638799
RR,Acer126RR,Acer126RR,36.929667970955364,0.26873782922311185
RR,ML75,ML75,36.44760782841259,0.14167617736511326
RR,M7,M7,36.260039606214576,0.3461207558061746
RR,FM6(A),FM6,35.46292013728876,0.15069085524080425
RR,ML41,ML41,36.52063393803835,0.18868818686445424
RR,U75,U75,35.97168262589524,0.14127881779368506
RR,Acer122RR,Acer122RR,36.77533659483677,0.3870406026009374
RR,Acer121RR,Acer121RR,37.09676061593482,0.22985169227690136
RR,K3,K3,36.452888334651206,0.25871157678952394
RR,KW15,KW15,36.84499256724689,0.5107477931451261
RR,FM6(B),FM6,36.80742859162361,0.2586238091887728
RR,FM5,FM5,35.798998538897045,0.1634518827408749
RR,ML1,ML1,36.43359919438789,0.14901790621375013
RR,ML63,ML63,35.95180293855321,0.22938296930971813
RR,FM19,FM19,36.732037433968244,0.5850165066407316
