ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01211,pulchritude,2022_12_4,293574,10,37,48,28.50,27.78,27.78,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.55,27.55,HTR,
01211,pulchritude,2022_12_4,299044,10,37,48,28.50,27.78,27.78,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.55,27.55,HTR,
01211,pulchritude,2022_12_4,304521,10,37,48,28.50,27.78,27.78,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.61,27.61,HTR,
01211,pulchritude,2022_12_4,309992,10,37,48,28.50,27.78,27.78,HTR,28.50,29.62,29.62,CHL,28.50,29.56,29.56,CHL,28.50,27.61,27.61,HTR,
01211,pulchritude,2022_12_4,315463,10,38,51,28.50,27.84,27.84,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.61,27.61,HTR,
01211,pulchritude,2022_12_4,323389,10,38,51,28.50,27.84,27.84,HTR,28.50,29.62,29.62,CHL,28.50,29.56,29.56,CHL,28.50,27.67,27.67,HTR,
01211,pulchritude,2022_12_4,328859,10,38,51,28.50,27.84,27.84,HTR,28.50,29.62,29.62,CHL,28.50,29.56,29.56,CHL,28.50,27.74,27.74,HTR,
01211,pulchritude,2022_12_4,334330,10,38,51,28.50,27.90,27.90,HTR,28.50,29.62,29.62,CHL,28.50,29.56,29.56,CHL,28.50,27.74,27.74,HTR,
01211,pulchritude,2022_12_4,339800,10,38,51,28.50,27.90,27.90,HTR,28.50,29.62,29.62,CHL,28.50,29.56,29.56,CHL,28.50,27.74,27.74,HTR,
01211,pulchritude,2022_12_4,345276,10,38,51,28.50,27.90,27.90,HTR,28.50,29.62,29.62,CHL,28.50,29.56,29.56,CHL,28.50,27.80,27.80,HTR,
01211,pulchritude,2022_12_4,350747,10,38,51,28.50,27.90,27.90,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.80,27.80,HTR,
01211,pulchritude,2022_12_4,356218,10,38,51,28.50,27.90,27.90,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.86,27.86,HTR,
01211,pulchritude,2022_12_4,361690,10,38,51,28.50,27.96,27.96,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.86,27.86,HTR,
01211,pulchritude,2022_12_4,367163,10,38,51,28.50,27.96,27.96,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.86,27.86,HTR,
01211,pulchritude,2022_12_4,372635,10,38,51,28.50,27.96,27.96,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.92,27.92,HTR,
01211,pulchritude,2022_12_4,378105,10,39,53,28.50,27.96,27.96,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.92,27.92,HTR,
01211,pulchritude,2022_12_4,386016,10,39,53,28.50,27.96,27.96,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.92,27.92,HTR,
01211,pulchritude,2022_12_4,391491,10,39,53,28.50,28.03,28.03,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.99,27.99,HTR,
01211,pulchritude,2022_12_4,396960,10,39,53,28.50,28.03,28.03,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,27.99,27.99,HTR,
01211,pulchritude,2022_12_4,402432,10,39,53,28.50,28.03,28.03,HTR,28.50,29.56,29.56,CHL,28.50,29.50,29.50,CHL,28.50,28.05,28.05,HTR,
01211,pulchritude,2022_12_4,407902,10,39,53,28.50,28.09,28.09,HTR,28.50,29.56,29.56,CHL,28.50,29.50,29.50,CHL,28.50,28.05,28.05,HTR,
01211,pulchritude,2022_12_4,413376,10,39,53,28.50,28.09,28.09,HTR,28.50,29.62,29.62,CHL,28.50,29.50,29.50,CHL,28.50,28.05,28.05,HTR,
01211,pulchritude,2022_12_4,418844,10,39,53,28.50,28.09,28.09,HTR,28.50,29.56,29.56,CHL,28.50,29.50,29.50,CHL,28.50,28.11,28.11,HTR,
01211,pulchritude,2022_12_4,424314,10,39,53,28.50,28.09,28.09,HTR,28.50,29.56,29.56,CHL,28.50,29.50,29.50,CHL,28.50,28.11,28.11,HTR,
01211,pulchritude,2022_12_4,429784,10,39,53,28.50,28.09,28.09,HTR,28.50,29.56,29.56,CHL,28.50,29.50,29.50,CHL,28.50,28.11,28.11,HTR,
01211,pulchritude,2022_12_4,435257,10,39,53,28.50,28.15,28.15,HTR,28.50,29.56,29.56,CHL,28.50,29.50,29.50,CHL,28.50,28.17,28.17,HTR,
01211,pulchritude,2022_12_4,440727,10,40,56,28.50,28.15,28.15,HTR,28.50,29.56,29.56,CHL,28.50,29.50,29.50,CHL,28.50,28.17,28.17,HTR,
01211,pulchritude,2022_12_4,446516,10,40,56,28.50,28.15,28.15,HTR,28.50,29.56,29.56,CHL,28.50,29.50,29.50,CHL,28.50,28.17,28.17,HTR,
01211,pulchritude,2022_12_4,451990,10,40,56,28.50,28.21,28.21,HTR,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.24,28.24,OFF,
01211,pulchritude,2022_12_4,457456,10,40,56,28.50,28.21,28.21,HTR,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.24,28.24,HTR,
01211,pulchritude,2022_12_4,462927,10,40,56,28.50,28.21,28.21,HTR,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.30,28.30,OFF,
01211,pulchritude,2022_12_4,468397,10,40,56,28.50,28.21,28.21,HTR,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.30,28.30,HTR,
01211,pulchritude,2022_12_4,473871,10,40,56,28.50,28.21,28.21,HTR,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.30,28.30,HTR,
01211,pulchritude,2022_12_4,479340,10,40,56,28.50,28.21,28.21,HTR,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.36,28.36,CHL,
01211,pulchritude,2022_12_4,484810,10,40,56,28.50,28.28,28.28,OFF,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.36,28.36,HTR,
01211,pulchritude,2022_12_4,490281,10,40,56,28.50,28.28,28.28,HTR,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.42,28.42,CHL,
01211,pulchritude,2022_12_4,495755,10,40,56,28.50,28.28,28.28,HTR,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.42,28.42,HTR,
01211,pulchritude,2022_12_4,501226,10,41,57,28.50,28.28,28.28,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.42,28.42,HTR,
01211,pulchritude,2022_12_4,507484,10,41,57,28.50,28.34,28.34,CHL,28.50,29.56,29.56,CHL,28.50,29.43,29.43,CHL,28.50,28.42,28.42,HTR,
01211,pulchritude,2022_12_4,512956,10,41,57,28.50,28.34,28.34,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.49,28.49,CHL,
01211,pulchritude,2022_12_4,518429,10,41,57,28.50,28.34,28.34,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.49,28.49,HTR,
01211,pulchritude,2022_12_4,523899,10,41,57,28.50,28.40,28.40,CHL,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.49,28.49,HTR,
01211,pulchritude,2022_12_4,529370,10,41,57,28.50,28.34,28.34,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.55,28.55,CHL,
01211,pulchritude,2022_12_4,534841,10,41,57,28.50,28.40,28.40,CHL,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.55,28.55,CHL,
01211,pulchritude,2022_12_4,540316,10,41,57,28.50,28.40,28.40,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.55,28.55,CHL,
01211,pulchritude,2022_12_4,545784,10,41,57,28.50,28.40,28.40,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.55,28.55,CHL,
01211,pulchritude,2022_12_4,551256,10,41,57,28.50,28.40,28.40,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.55,28.55,CHL,
01211,pulchritude,2022_12_4,556724,10,41,57,28.50,28.40,28.40,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.61,28.61,CHL,
01211,pulchritude,2022_12_4,562198,10,42,57,28.50,28.46,28.46,CHL,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.61,28.61,CHL,
01211,pulchritude,2022_12_4,568945,10,42,57,28.50,28.46,28.46,HTR,28.50,29.50,29.50,CHL,28.50,29.37,29.37,CHL,28.50,28.61,28.61,CHL,
01211,pulchritude,2022_12_4,574415,10,42,57,28.50,28.46,28.46,HTR,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.61,28.61,CHL,
01211,pulchritude,2022_12_4,579891,10,42,57,28.50,28.46,28.46,HTR,28.50,29.50,29.50,CHL,28.50,29.37,29.37,CHL,28.50,28.61,28.61,CHL,
01211,pulchritude,2022_12_4,585360,10,42,57,28.50,28.46,28.46,HTR,28.50,29.50,29.50,CHL,28.50,29.37,29.37,CHL,28.50,28.61,28.61,CHL,
01211,pulchritude,2022_12_4,590832,10,42,57,28.50,28.46,28.46,HTR,28.50,29.50,29.50,CHL,28.50,29.37,29.37,CHL,28.50,28.61,28.61,CHL,
01211,pulchritude,2022_12_4,596301,10,42,57,28.50,28.46,28.46,HTR,28.50,29.50,29.50,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01211,pulchritude,2022_12_4,601776,10,42,57,28.50,28.53,28.53,CHL,28.50,29.50,29.50,CHL,28.50,29.43,29.43,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,607423,10,42,57,28.50,28.53,28.53,HTR,28.50,29.50,29.50,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,612893,10,42,57,28.50,28.53,28.53,HTR,28.50,29.50,29.50,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,618365,10,42,57,28.50,28.53,28.53,HTR,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,623837,10,43,59,28.50,28.53,28.53,HTR,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,631065,10,43,59,28.50,28.59,28.59,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,636537,10,43,59,28.50,28.59,28.59,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,642013,10,43,59,28.50,28.59,28.59,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,647484,10,43,59,28.50,28.59,28.59,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,652956,10,43,59,28.50,28.59,28.59,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,658430,10,43,59,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,663904,10,43,59,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,669374,10,43,59,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,674846,10,43,59,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,680322,10,43,59,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,685793,10,45,1,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,693701,10,45,1,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,699171,10,45,1,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,704647,10,45,1,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,710116,10,45,1,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,715587,10,45,1,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,721057,10,45,1,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,726532,10,45,1,28.50,28.65,28.65,CHL,28.50,29.44,29.44,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,732003,10,45,1,28.50,28.65,28.65,CHL,28.50,29.37,29.37,CHL,28.50,29.31,29.31,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,737473,10,45,1,28.50,28.65,28.65,CHL,28.50,29.37,29.37,CHL,28.50,29.37,29.37,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,742943,10,45,1,28.50,28.65,28.65,CHL,28.50,29.37,29.37,CHL,28.50,29.31,29.31,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,748418,10,46,4,28.50,28.65,28.65,CHL,28.50,29.37,29.37,CHL,28.50,29.31,29.31,CHL,28.50,28.67,28.67,CHL,
01211,pulchritude,2022_12_4,756327,10,46,4,28.50,28.65,28.65,CHL,28.50,29.37,29.37,CHL,28.50,29.31,29.31,CHL,28.50,28.61,28.61,HTR,
